img_name,dataset,gt_area_ratio,coarse_bin_bf,coarse_bin_rb,coarse_bin_pb,coarse_bin_iou,coarse_bin_sm,coarse_bin_mae,coarse_bin_em,refined_bf,refined_rb,refined_pb,refined_iou,refined_sm,refined_mae,refined_em,coarse_soft_mae,coarse_soft_sm,coarse_soft_tzr,coarse_bin_tzr,refined_tzr,coarse_bin_narrow5_local_iou,refined_narrow5_local_iou,coarse_bin_narrow5_local_bf,refined_narrow5_local_bf,coarse_bin_narrow10_local_iou,refined_narrow10_local_iou,coarse_bin_narrow10_local_bf,refined_narrow10_local_bf,coarse_bin_narrow20_local_iou,refined_narrow20_local_iou,coarse_bin_narrow20_local_bf,refined_narrow20_local_bf
camourflage_00001,TR-CAMO,0.17781954887218046,0.15258600556742155,0.15676832530765114,0.14862104187946884,0.674496644295302,0.7921976894703588,0.0856954887218045,0.865070387166301,0.15150207594471474,0.15676832530765114,0.14657814096016344,0.673258507037235,0.7912335684949281,0.0861842105263158,0.8641630997511833,0.09412597670647205,0.8164877129206094,0.13212406015037595,0.0,0.0,0.5145998344958033,0.5146572104018913,0.2529068732721901,0.25256003447918557,0.5291142898425083,0.5288426828387842,0.21426659747518093,0.21436091433057936,0.5796220999760823,0.5782316171207711,0.1639324720419988,0.1629882174623449
camourflage_00002,TR-CAMO,0.0295,0.08364286958311562,0.1437308868501529,0.0589840470193115,0.07199229145636414,0.35611764059991535,0.37453703703703706,0.2974987812412311,0.08170832901151333,0.14067278287461774,0.05757512082370246,0.07187686105639288,0.35582770470700625,0.3751851851851852,0.29730954991344577,0.37275384894698615,0.374578511150716,0.31221296296296297,0.0,0.0,0.37012448132780085,0.36955492424242425,0.23583296875976537,0.23144016599643769,0.2642081333670119,0.2636310173905738,0.20063957948788064,0.19650151226965168,0.18663018912810753,0.18630885234221933,0.1507897996814541,0.1475981919104387
camourflage_00003,TR-CAMO,0.19221684272300468,0.11635043329434261,0.09988562714449103,0.13931457230426303,0.5806130644832588,0.7240359000296106,0.1283157276995305,0.8204887516999981,0.11633689744591666,0.09988562714449103,0.1392757660167131,0.58066179115214,0.7240712132259153,0.1282900528169014,0.8205332707183624,0.1344919249976986,0.7501606332823864,0.14661458333333333,0.0,0.0,0.4145051624276001,0.4145051624276001,0.17578630825940691,0.17578630825940691,0.43782080436618803,0.43782080436618803,0.16898385236745087,0.16898385236745087,0.46958505095314823,0.46958505095314823,0.14752036287757045,0.14752036287757045
camourflage_00004,TR-CAMO,0.08822265625,0.016789393419230383,0.04296506137865911,0.010433174854727945,0.21772361417629496,0.44701738141217345,0.31384765625,0.4213623248238484,0.016789393419230383,0.04296506137865911,0.010433174854727945,0.2177720425918712,0.447085322380948,0.31374674479166664,0.4214528816276508,0.31331798917483655,0.47784505222748874,0.28857747395833333,0.0,0.0,0.4907070916831066,0.4907070916831066,0.08025587210860052,0.08025587210860052,0.49065084501977707,0.49062031765058434,0.07560881980195937,0.07560881980195937,0.4954034028540066,0.49547107664859674,0.057839370838948446,0.057839370838948446
camourflage_00005,TR-CAMO,0.05781818181818182,0.0,0.0,0.0,0.08533819957867618,0.24957145181033885,0.6197,0.2139730386027494,0.0,0.0,0.0,0.08533590951173368,0.24956382421878276,0.6197181818181818,0.21396296533456416,0.6013804991087345,0.2780653035631739,0.3710090909090909,0.0,0.0,0.46978922716627636,0.46978922716627636,0.0,0.0,0.44451774640453884,0.44451774640453884,0.0,0.0,0.38133933106000145,0.38133933106000145,0.0,0.0
camourflage_00006,TR-CAMO,0.29463483146067415,0.2893709880377821,0.3070539419087137,0.2736138200055726,0.7189181730371188,0.7862517574562533,0.114438202247191,0.8516855908306129,0.2893097391888646,0.3067575577949022,0.27373990531885267,0.7188786422279971,0.786214421357053,0.11445692883895131,0.8516676600958415,0.13422828082543878,0.8170295876226057,0.24171348314606741,0.0,0.0,0.5466915319795552,0.5466602196587691,0.4264804272551206,0.4263268751177223,0.5808556611927398,0.5808124459809854,0.3646399413910591,0.3644462800799242,0.6535571215532618,0.653527880932191,0.3016834457706279,0.3016500985754115
camourflage_00007,TR-CAMO,0.11177774449320947,0.04718402228104484,0.06725498061238133,0.03633926576811378,0.38267419551757215,0.6449516641596365,0.16004193855605892,0.6838368684207168,0.04702819793370795,0.06738868832731648,0.03611621919823464,0.38278360974048875,0.6449702984615071,0.15990252017562948,0.6842109318701617,0.16928262870807315,0.6817748232007943,0.26262937413393395,0.0,0.0,0.45546389287422284,0.45545856749970104,0.12174178277435906,0.12181976469858512,0.4633317651978464,0.4632288871074553,0.11137778646949377,0.11152641025381017,0.47415034562211983,0.4738780633346365,0.1014029325236984,0.10124661925180752
camourflage_00008,TR-CAMO,0.18055719994080213,0.08572776933768628,0.08725289706884799,0.08425504229017566,0.5521919840541796,0.676707965002932,0.14629643332840017,0.7583293777116022,0.08578248160883395,0.08725289706884799,0.08436080467229072,0.5518544927733071,0.6763873902886932,0.1464962261358591,0.7579867810881948,0.1526262670230146,0.6942812999267349,0.13096418528932957,0.0,0.0,0.5094097807757167,0.5093754215567247,0.1542409037087698,0.15417257321807454,0.5227826223583942,0.5227620880631604,0.1392704182691601,0.13922938543279087,0.53583687572458,0.5358734200236428,0.12195745541831829,0.12229988460888293
camourflage_00009,TR-CAMO,0.1564621960848376,0.0,0.0,0.0,0.2142775910317145,0.2963598998929959,0.5737223991940973,0.23431093826278543,0.0,0.0,0.0,0.21429477044240924,0.29639572358025423,0.5736638623431076,0.2343614895792584,0.5655738720111639,0.318438710366303,0.24579215333932314,0.0,0.0,0.4953638789633181,0.4953638789633181,0.0,0.0,0.4905823441193666,0.4905823441193666,0.0,0.0,0.4794050343249428,0.4794050343249428,0.0,0.0
camourflage_00010,TR-CAMO,0.14007147118208516,0.04254344680021729,0.08703237061446016,0.02815252879935933,0.24274243978088497,0.4158075839461559,0.434138674743025,0.3579678517985855,0.04254842826426282,0.08703237061446016,0.028156891675888356,0.24280667340545842,0.4158731559091847,0.43397806534508077,0.3581224102176902,0.4282286987849472,0.45813601297110385,0.4047270787444934,0.0,0.0,0.5047276931334902,0.504644729779943,0.15289599513577434,0.15293660488352678,0.5189900376251213,0.5189540937056318,0.14501215719656213,0.14506502255596668,0.5312923113325358,0.5312101575951946,0.1367256488276475,0.13681014716394804
