img_name,dataset,coarse_iou,coarse_sm,coarse_mae,coarse_bf,naive_iou,naive_sm,naive_mae,naive_bf,naive_narrow_iou,naive_narrow_bf,refined_iou,refined_sm,refined_mae,refined_bf,refined_narrow_iou,refined_narrow_bf,coarse_narrow_iou,coarse_narrow_bf,centroid_distance,gt_area_ratio,gate_decision,S_score,LocalSAM_triggered
camourflage_00001,TR-CAMO,0.674496644295302,0.7921976894703588,0.0856954887218045,0.15258600556742155,0.673258507037235,0.7912335684949281,0.0861842105263158,0.15150207594471474,0.5288426828387842,0.21436091433057936,0.673258507037235,0.7912335684949281,0.0861842105263158,0.15150207594471474,0.5288426828387842,0.21436091433057936,0.5291142898425083,0.21426659747518093,0.006230989796552667,0.17781954887218046,full,14.289899,False
camourflage_00002,TR-CAMO,0.07199229145636414,0.35611764059991535,0.37453703703703706,0.08364286958311562,0.07187686105639288,0.35582770470700625,0.3751851851851852,0.08170832901151333,0.2636310173905738,0.19650151226965168,0.07187686105639288,0.35582770470700625,0.3751851851851852,0.08170832901151333,0.2636310173905738,0.19650151226965168,0.2642081333670119,0.20063957948788064,0.13047382915549782,0.0295,fusion,0.617654,False
camourflage_00003,TR-CAMO,0.5806130644832588,0.7240359000296106,0.1283157276995305,0.11635043329434261,0.58066179115214,0.7240712132259153,0.1282900528169014,0.11633689744591666,0.43782080436618803,0.16898385236745087,0.58066179115214,0.7240712132259153,0.1282900528169014,0.11633689744591666,0.43782080436618803,0.16898385236745087,0.43782080436618803,0.16898385236745087,0.04644399670358735,0.19221684272300468,full,13.265264,False
camourflage_00004,TR-CAMO,0.21772361417629496,0.44701738141217345,0.31384765625,0.016789393419230383,0.2177720425918712,0.447085322380948,0.31374674479166664,0.016789393419230383,0.49062031765058434,0.07560881980195937,0.2177720425918712,0.447085322380948,0.31374674479166664,0.016789393419230383,0.49062031765058434,0.07560881980195937,0.49065084501977707,0.07560881980195937,0.10161630521985934,0.08822265625,full,14.313708,False
camourflage_00005,TR-CAMO,0.08533819957867618,0.24957145181033885,0.6197,0.0,0.08533590951173368,0.24956382421878276,0.6197181818181818,0.0,0.44451774640453884,0.0,0.08533590951173368,0.24956382421878276,0.6197181818181818,0.0,0.44451774640453884,0.0,0.44451774640453884,0.0,0.18182742321473291,0.05781818181818182,full,26.10956,False
camourflage_00006,TR-CAMO,0.7189181730371188,0.7862517574562533,0.114438202247191,0.2893709880377821,0.7188786422279971,0.786214421357053,0.11445692883895131,0.2893097391888646,0.5808124459809854,0.3644462800799242,0.7188786422279971,0.786214421357053,0.11445692883895131,0.2893097391888646,0.5808124459809854,0.3644462800799242,0.5808556611927398,0.3646399413910591,0.012443939475368383,0.29463483146067415,full,16.950164,False
camourflage_00007,TR-CAMO,0.38267419551757215,0.6449516641596365,0.16004193855605892,0.04718402228104484,0.38278360974048875,0.6449702984615071,0.15990252017562948,0.04702819793370795,0.4632288871074553,0.11152641025381017,0.38278360974048875,0.6449702984615071,0.15990252017562948,0.04702819793370795,0.4632288871074553,0.11152641025381017,0.4633317651978464,0.11137778646949377,0.12433161427500884,0.11177774449320947,full,11.044116,False
camourflage_00008,TR-CAMO,0.5521919840541796,0.676707965002932,0.14629643332840017,0.08572776933768628,0.5518544927733071,0.6763873902886932,0.1464962261358591,0.08578248160883395,0.5227620880631604,0.13922938543279087,0.5518544927733071,0.6763873902886932,0.1464962261358591,0.08578248160883395,0.5227620880631604,0.13922938543279087,0.5227826223583942,0.1392704182691601,0.05023728483442012,0.18055719994080213,full,16.564864,False
camourflage_00009,TR-CAMO,0.2142775910317145,0.2963598998929959,0.5737223991940973,0.0,0.21429477044240924,0.29639572358025423,0.5736638623431076,0.0,0.4905823441193666,0.0,0.21429477044240924,0.29639572358025423,0.5736638623431076,0.0,0.4905823441193666,0.0,0.4905823441193666,0.0,0.10433266598041209,0.1564621960848376,full,1.949213,False
camourflage_00010,TR-CAMO,0.24274243978088497,0.4158075839461559,0.434138674743025,0.04254344680021729,0.24280667340545842,0.4158731559091847,0.43397806534508077,0.04254842826426282,0.5189540937056318,0.14506502255596668,0.24280667340545842,0.4158731559091847,0.43397806534508077,0.04254842826426282,0.5189540937056318,0.14506502255596668,0.5189900376251213,0.14501215719656213,0.0644574339207518,0.14007147118208516,full,8.585586,False
